2020-04-28 02:12:24.942 [] INFO  - com.howtodoinjava.demo.SpringBootDemoApplication - Starting SpringBootDemoApplication on DESKTOP-9M1IU5D with PID 20160 (C:\Users\Ankit\Downloads\springbootdemo-hello-world-rest\springbootdemo\target\classes started by Ankit in C:\Users\Ankit\Downloads\springbootdemo-hello-world-rest\springbootdemo)
2020-04-28 02:12:24.945 [] INFO  - com.howtodoinjava.demo.SpringBootDemoApplication - No active profile set, falling back to default profiles: default
2020-04-28 02:12:24.984 [] INFO  - o.s.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6973b51b: startup date [Tue Apr 28 02:12:24 IST 2020]; root of context hierarchy
2020-04-28 02:12:25.984 [] INFO  - org.xnio - XNIO version 3.3.6.Final
2020-04-28 02:12:26.001 [] INFO  - org.xnio.nio - XNIO NIO Implementation Version 3.3.6.Final
2020-04-28 02:12:26.052 [] INFO  - io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2020-04-28 02:12:26.053 [] INFO  - org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1069 ms
2020-04-28 02:12:26.167 [] INFO  - org.springframework.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2020-04-28 02:12:26.172 [] INFO  - org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2020-04-28 02:12:26.173 [] INFO  - org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2020-04-28 02:12:26.174 [] INFO  - org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2020-04-28 02:12:26.174 [] INFO  - org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2020-04-28 02:12:26.445 [] INFO  - o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6973b51b: startup date [Tue Apr 28 02:12:24 IST 2020]; root of context hierarchy
2020-04-28 02:12:26.495 [] INFO  - o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/]}" onto public java.util.List<com.howtodoinjava.demo.model.Employee> com.howtodoinjava.demo.controller.EmployeeController.getEmployees()
2020-04-28 02:12:26.500 [] INFO  - o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2020-04-28 02:12:26.500 [] INFO  - o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2020-04-28 02:12:26.527 [] INFO  - org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-04-28 02:12:26.527 [] INFO  - org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-04-28 02:12:26.566 [] INFO  - org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-04-28 02:12:26.695 [] INFO  - org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2020-04-28 02:12:26.761 [] INFO  - o.s.boot.context.embedded.undertow.UndertowEmbeddedServletContainer - Undertow started on port(s) 8080 (http)
2020-04-28 02:12:26.765 [] INFO  - com.howtodoinjava.demo.SpringBootDemoApplication - Started SpringBootDemoApplication in 2.114 seconds (JVM running for 3.268)
2020-04-28 02:12:39.332 [] INFO  - io.undertow.servlet - Initializing Spring FrameworkServlet 'dispatcherServlet'
2020-04-28 02:12:39.332 [] INFO  - org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2020-04-28 02:12:39.344 [] INFO  - org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 11 ms
